,Month,Year,UNRATE,GDP,CPI,President,Party
1251,April,1999,4.3,9526.21,165.9,Bill Clinton,Democratic
1253,May,1999,4.2,9579.681999999999,166.0,Bill Clinton,Democratic
1255,June,1999,4.3,9633.154,166.0,Bill Clinton,Democratic
1257,July,1999,4.3,9686.626,166.7,Bill Clinton,Democratic
1259,August,1999,4.2,9757.807,167.1,Bill Clinton,Democratic
1261,September,1999,4.2,9828.988,167.8,Bill Clinton,Democratic
1263,October,1999,4.1,9900.169,168.1,Bill Clinton,Democratic
1265,November,1999,4.1,9934.172333333334,168.4,Bill Clinton,Democratic
1267,December,1999,4.0,9968.175666666666,168.8,Bill Clinton,Democratic
1269,January,2000,4.0,10002.179,169.3,Bill Clinton,Democratic
1271,February,2000,4.1,10084.026,170.0,Bill Clinton,Democratic
1273,March,2000,4.0,10165.873,171.0,Bill Clinton,Democratic
1275,April,2000,3.8,10247.72,170.9,Bill Clinton,Democratic
1277,May,2000,4.0,10271.201666666666,171.2,Bill Clinton,Democratic
1279,June,2000,4.0,10294.683333333334,172.2,Bill Clinton,Democratic
1281,July,2000,4.0,10318.165,172.7,Bill Clinton,Democratic
1283,August,2000,4.1,10357.358,172.7,Bill Clinton,Democratic
1285,September,2000,3.9,10396.551000000001,173.6,Bill Clinton,Democratic
1287,October,2000,3.9,10435.744,173.9,Bill Clinton,Democratic
1289,November,2000,3.9,10447.239666666666,174.2,Bill Clinton,Democratic
1291,December,2000,3.9,10458.735333333334,174.6,Bill Clinton,Democratic
1293,January,2001,4.2,10470.231,175.6,Bill Clinton,Democratic
1295,January,2001,4.2,10470.231,175.6,,Republican
1297,February,2001,4.2,10513.154,176.0,,Republican
1299,March,2001,4.3,10556.077,176.1,,Republican
1301,April,2001,4.4,10599.0,176.4,,Republican
1303,May,2001,4.3,10598.673333333334,177.3,,Republican
1305,June,2001,4.5,10598.346666666666,177.7,,Republican
1307,July,2001,4.6,10598.02,177.4,,Republican
1309,August,2001,4.9,10618.835000000001,177.4,,Republican
1311,September,2001,5.0,10639.65,178.1,,Republican
1313,October,2001,5.3,10660.465,177.6,,Republican
1315,November,2001,5.5,10701.476666666667,177.5,,Republican
1317,December,2001,5.7,10742.488333333333,177.4,,Republican
1319,January,2002,5.7,10783.5,177.7,,Republican
1321,February,2002,5.7,10818.153333333334,178.0,,Republican
1323,March,2002,5.7,10852.806666666665,178.5,,Republican
1325,April,2002,5.9,10887.46,179.3,,Republican
1327,May,2002,5.8,10919.653333333334,179.5,,Republican
1329,June,2002,5.8,10951.846666666666,179.6,,Republican
1331,July,2002,5.8,10984.04,180.0,,Republican
1333,August,2002,5.7,11009.837666666668,180.5,,Republican
1335,September,2002,5.7,11035.635333333334,180.8,,Republican
1337,October,2002,5.7,11061.433,181.2,,Republican
1339,November,2002,5.9,11098.998333333335,181.5,,Republican
1341,December,2002,6.0,11136.563666666667,181.8,,Republican
1343,January,2003,5.8,11174.129,182.6,,Republican
1345,February,2003,5.9,11220.341333333334,183.6,,Republican
1347,March,2003,5.9,11266.553666666667,183.9,,Republican
1349,April,2003,6.0,11312.766,183.2,,Republican
1351,May,2003,6.1,11397.400333333333,182.9,,Republican
1353,June,2003,6.3,11482.034666666666,183.1,,Republican
1355,July,2003,6.2,11566.669,183.7,,Republican
1357,August,2003,6.1,11635.190666666667,184.5,,Republican
1359,September,2003,6.1,11703.712333333333,185.1,,Republican
1361,October,2003,6.0,11772.234,184.9,,Republican
1363,November,2003,5.8,11822.638333333334,185.0,,Republican
1365,December,2003,5.7,11873.042666666666,185.5,,Republican
1367,January,2004,5.7,11923.447,186.3,,Republican
1369,February,2004,5.6,11986.569666666666,186.7,,Republican
1371,March,2004,5.8,12049.692333333334,187.1,,Republican
1373,April,2004,5.6,12112.815,187.4,,Republican
1375,May,2004,5.6,12176.979000000001,188.2,,Republican
1377,June,2004,5.6,12241.143,188.9,,Republican
1379,July,2004,5.5,12305.307,189.1,,Republican
1381,August,2004,5.4,12379.276,189.2,,Republican
1383,September,2004,5.4,12453.245,189.8,,Republican
1385,October,2004,5.5,12527.214,190.8,,Republican
1387,November,2004,5.4,12607.238,191.7,,Republican
1389,December,2004,5.4,12687.262,191.7,,Republican
1391,January,2005,5.3,12767.286,191.6,,Republican
1393,February,2005,5.4,12819.076000000001,192.4,,Republican
1395,March,2005,5.2,12870.866,193.1,,Republican
1397,April,2005,5.2,12922.656,193.7,,Republican
1399,May,2005,5.1,12995.984666666667,193.6,,Republican
1401,June,2005,5.0,13069.313333333334,193.7,,Republican
1403,July,2005,5.0,13142.642,194.9,,Republican
1405,August,2005,4.9,13203.162666666667,196.1,,Republican
1407,September,2005,5.0,13263.683333333332,198.8,,Republican
1409,October,2005,5.0,13324.204,199.1,,Republican
1411,November,2005,5.0,13415.856,198.1,,Republican
1413,December,2005,4.9,13507.508,198.1,,Republican
1415,January,2006,4.7,13599.16,199.3,,Republican
1417,February,2006,4.8,13650.581333333334,199.4,,Republican
1419,March,2006,4.7,13702.002666666667,199.7,,Republican
1421,April,2006,4.7,13753.424,200.7,,Republican
1423,May,2006,4.6,13792.345333333335,201.3,,Republican
1425,June,2006,4.6,13831.266666666666,201.8,,Republican
1427,July,2006,4.7,13870.188,202.9,,Republican
1429,August,2006,4.7,13926.645333333334,203.8,,Republican
1431,September,2006,4.5,13983.102666666666,202.8,,Republican
1433,October,2006,4.4,14039.56,201.9,,Republican
1435,November,2006,4.5,14098.257,202.0,,Republican
1437,December,2006,4.4,14156.954,203.1,,Republican
1439,January,2007,4.6,14215.651,203.437,,Republican
1441,February,2007,4.5,14277.794666666667,204.226,,Republican
1443,March,2007,4.4,14339.938333333334,205.288,,Republican
1445,April,2007,4.5,14402.082,205.904,,Republican
1447,May,2007,4.4,14456.093666666668,206.755,,Republican
1449,June,2007,4.6,14510.105333333333,207.234,,Republican
1451,July,2007,4.7,14564.117,207.603,,Republican
1453,August,2007,4.6,14614.430666666667,207.667,,Republican
1455,September,2007,4.7,14664.744333333334,208.547,,Republican
1457,October,2007,4.7,14715.058,209.19,,Republican
1459,November,2007,4.7,14712.218,210.834,,Republican
1461,December,2007,5.0,14709.378,211.445,,Republican
1463,January,2008,5.0,14706.538,212.174,,Republican
1465,February,2008,4.9,14759.592333333334,212.687,,Republican
1467,March,2008,5.1,14812.646666666666,213.448,,Republican
1469,April,2008,5.0,14865.701,213.942,,Republican
1471,May,2008,5.4,14876.800333333333,215.208,,Republican
1473,June,2008,5.6,14887.899666666666,217.463,,Republican
1475,July,2008,5.8,14898.999,219.016,,Republican
1477,August,2008,6.1,14802.069,218.69,,Republican
1479,September,2008,6.1,14705.139000000001,218.877,,Republican
1481,October,2008,6.5,14608.209,216.995,,Republican
1483,November,2008,6.8,14549.106666666667,213.153,,Republican
1485,December,2008,7.3,14490.004333333334,211.398,,Republican
1487,January,2009,7.8,14430.902,211.933,,Republican
1489,January,2009,7.8,14430.902,211.933,Barack Obama,Democratic
1491,February,2009,8.3,14414.346666666666,212.705,Barack Obama,Democratic
1493,March,2009,8.7,14397.791333333334,212.495,Barack Obama,Democratic
1495,April,2009,9.0,14381.236,212.709,Barack Obama,Democratic
1497,May,2009,9.4,14403.784666666666,213.022,Barack Obama,Democratic
1499,June,2009,9.5,14426.333333333334,214.79,Barack Obama,Democratic
1501,July,2009,9.5,14448.882,214.726,Barack Obama,Democratic
1503,August,2009,9.6,14516.337666666666,215.445,Barack Obama,Democratic
1505,September,2009,9.8,14583.793333333333,215.861,Barack Obama,Democratic
1507,October,2009,10.0,14651.249,216.509,Barack Obama,Democratic
1509,November,2009,9.9,14689.036,217.234,Barack Obama,Democratic
1511,December,2009,9.9,14726.823,217.347,Barack Obama,Democratic
1513,January,2010,9.8,14764.61,217.488,Barack Obama,Democratic
1515,February,2010,9.8,14836.471,217.281,Barack Obama,Democratic
1517,March,2010,9.9,14908.332,217.353,Barack Obama,Democratic
1519,April,2010,9.9,14980.193,217.403,Barack Obama,Democratic
1521,May,2010,9.6,15033.997666666666,217.29,Barack Obama,Democratic
1523,June,2010,9.4,15087.802333333333,217.199,Barack Obama,Democratic
1525,July,2010,9.4,15141.607,217.605,Barack Obama,Democratic
1527,August,2010,9.5,15197.562666666667,217.923,Barack Obama,Democratic
1529,September,2010,9.5,15253.518333333333,218.275,Barack Obama,Democratic
1531,October,2010,9.4,15309.474,219.035,Barack Obama,Democratic
1533,November,2010,9.8,15323.465333333334,219.59,Barack Obama,Democratic
1535,December,2010,9.3,15337.456666666667,220.472,Barack Obama,Democratic
1537,January,2011,9.1,15351.448,221.187,Barack Obama,Democratic
1539,February,2011,9.0,15420.145,221.898,Barack Obama,Democratic
1541,March,2011,9.0,15488.842,223.046,Barack Obama,Democratic
1543,April,2011,9.1,15557.539,224.093,Barack Obama,Democratic
1545,May,2011,9.0,15587.586000000001,224.806,Barack Obama,Democratic
1547,June,2011,9.1,15617.633,224.806,Barack Obama,Democratic
1549,July,2011,9.0,15647.68,225.395,Barack Obama,Democratic
1551,August,2011,9.0,15712.539666666667,226.106,Barack Obama,Democratic
1553,September,2011,9.0,15777.399333333333,226.597,Barack Obama,Democratic
1555,October,2011,8.8,15842.259,226.75,Barack Obama,Democratic
1557,November,2011,8.6,15917.774333333333,227.169,Barack Obama,Democratic
1559,December,2011,8.5,15993.289666666667,227.223,Barack Obama,Democratic
1561,January,2012,8.3,16068.805,227.842,Barack Obama,Democratic
1563,February,2012,8.3,16114.908333333333,228.329,Barack Obama,Democratic
1565,March,2012,8.2,16161.011666666667,228.807,Barack Obama,Democratic
1567,April,2012,8.2,16207.115,229.187,Barack Obama,Democratic
1569,May,2012,8.2,16244.590333333334,228.713,Barack Obama,Democratic
1571,June,2012,8.2,16282.065666666665,228.524,Barack Obama,Democratic
1573,July,2012,8.2,16319.541,228.59,Barack Obama,Democratic
1575,August,2012,8.1,16353.167,229.918,Barack Obama,Democratic
1577,September,2012,7.8,16386.793,231.015,Barack Obama,Democratic
1579,October,2012,7.8,16420.419,231.638,Barack Obama,Democratic
1581,November,2012,7.7,16496.342333333334,231.249,Barack Obama,Democratic
1583,December,2012,7.9,16572.265666666666,231.221,Barack Obama,Democratic
1585,January,2013,8.0,16648.189,231.679,Barack Obama,Democratic
1587,February,2013,7.7,16675.021666666667,232.937,Barack Obama,Democratic
1589,March,2013,7.5,16701.854333333333,232.282,Barack Obama,Democratic
1591,April,2013,7.6,16728.687,231.797,Barack Obama,Democratic
1593,May,2013,7.5,16803.737333333334,231.893,Barack Obama,Democratic
1595,June,2013,7.5,16878.787666666667,232.445,Barack Obama,Democratic
1597,July,2013,7.3,16953.838,232.9,Barack Obama,Democratic
1599,August,2013,7.2,17033.231666666667,233.456,Barack Obama,Democratic
1601,September,2013,7.2,17112.625333333333,233.544,Barack Obama,Democratic
1603,October,2013,7.2,17192.019,233.669,Barack Obama,Democratic
1605,November,2013,6.9,17193.925333333333,234.1,Barack Obama,Democratic
1607,December,2013,6.7,17195.83166666667,234.719,Barack Obama,Democratic
1609,January,2014,6.6,17197.738,235.288,Barack Obama,Democratic
1611,February,2014,6.7,17304.661333333333,235.547,Barack Obama,Democratic
1613,March,2014,6.7,17411.58466666667,236.028,Barack Obama,Democratic
1615,April,2014,6.2,17518.508,236.468,Barack Obama,Democratic
1617,May,2014,6.3,17613.748,236.918,Barack Obama,Democratic
1619,June,2014,6.1,17708.988,237.231,Barack Obama,Democratic
1621,July,2014,6.2,17804.228,237.498,Barack Obama,Democratic
1623,August,2014,6.1,17840.178333333333,237.46,Barack Obama,Democratic
1625,September,2014,5.9,17876.128666666667,237.477,Barack Obama,Democratic
1627,October,2014,5.7,17912.079,237.43,Barack Obama,Democratic
1629,November,2014,5.8,17962.562333333335,236.983,Barack Obama,Democratic
1631,December,2014,5.6,18013.045666666665,236.252,Barack Obama,Democratic
1633,January,2015,5.7,18063.529,234.747,Barack Obama,Democratic
1635,February,2015,5.5,18135.613999999998,235.342,Barack Obama,Democratic
1637,March,2015,5.4,18207.699,235.976,Barack Obama,Democratic
1639,April,2015,5.4,18279.784,236.222,Barack Obama,Democratic
1641,May,2015,5.6,18320.398,237.001,Barack Obama,Democratic
1643,June,2015,5.3,18361.012,237.657,Barack Obama,Democratic
1645,July,2015,5.2,18401.626,238.034,Barack Obama,Democratic
1647,August,2015,5.1,18412.796333333332,238.033,Barack Obama,Democratic
1649,September,2015,5.0,18423.966666666667,237.498,Barack Obama,Democratic
1651,October,2015,5.0,18435.137,237.733,Barack Obama,Democratic
1653,November,2015,5.1,18465.40233333333,238.017,Barack Obama,Democratic
1655,December,2015,5.0,18495.667666666668,237.761,Barack Obama,Democratic
1657,January,2016,4.8,18525.933,237.652,Barack Obama,Democratic
1659,February,2016,4.9,18587.856,237.336,Barack Obama,Democratic
1661,March,2016,5.0,18649.779000000002,238.08,Barack Obama,Democratic
1663,April,2016,5.1,18711.702,238.992,Barack Obama,Democratic
1665,May,2016,4.8,18772.014333333333,239.557,Barack Obama,Democratic
1667,June,2016,4.9,18832.326666666668,240.222,Barack Obama,Democratic
1669,July,2016,4.8,18892.639,240.101,Barack Obama,Democratic
1671,August,2016,4.9,18958.219,240.545,Barack Obama,Democratic
1673,September,2016,5.0,19023.799,241.176,Barack Obama,Democratic
1675,October,2016,4.9,19089.379,241.741,Barack Obama,Democratic
1677,November,2016,4.7,19152.947333333334,242.026,Barack Obama,Democratic
1679,December,2016,4.7,19216.515666666666,242.637,Barack Obama,Democratic
1681,January,2017,4.7,19280.084,243.618,Barack Obama,Democratic
1683,January,2017,4.7,19280.084,243.618,Donald Trump,Republican
1684,February,2017,4.6,19332.936999999998,244.006,Donald Trump,Republican
1685,March,2017,4.4,19385.79,243.892,Donald Trump,Republican
1686,April,2017,4.4,19438.643,244.193,Donald Trump,Republican
1687,May,2017,4.4,19523.29366666667,244.004,Donald Trump,Republican
1688,June,2017,4.3,19607.944333333333,244.163,Donald Trump,Republican
1689,July,2017,4.3,19692.595,244.243,Donald Trump,Republican
1690,August,2017,4.4,19807.426,245.183,Donald Trump,Republican
1691,September,2017,4.3,19922.257,246.435,Donald Trump,Republican
1692,October,2017,4.2,20037.088,246.626,Donald Trump,Republican
1693,November,2017,4.2,20134.243,247.284,Donald Trump,Republican
1694,December,2017,4.1,20231.398,247.805,Donald Trump,Republican
1695,January,2018,4.0,20328.553,248.859,Donald Trump,Republican
1696,February,2018,4.1,20412.672666666665,249.529,Donald Trump,Republican
1697,March,2018,4.0,20496.792333333335,249.577,Donald Trump,Republican
1698,April,2018,4.0,20580.912,250.227,Donald Trump,Republican
1699,May,2018,3.8,20653.518,250.792,Donald Trump,Republican
1700,June,2018,4.0,20726.124,251.018,Donald Trump,Republican
1701,July,2018,3.8,20798.73,251.214,Donald Trump,Republican
1702,August,2018,3.8,20838.442333333332,251.663,Donald Trump,Republican
1703,September,2018,3.7,20878.154666666665,252.182,Donald Trump,Republican
1704,October,2018,3.8,20917.867,252.772,Donald Trump,Republican
1705,November,2018,3.8,20982.444666666666,252.594,Donald Trump,Republican
1706,December,2018,3.9,21047.02233333333,252.767,Donald Trump,Republican
1707,January,2019,4.0,21111.6,252.561,Donald Trump,Republican
1708,February,2019,3.8,21207.046,253.319,Donald Trump,Republican
1709,March,2019,3.8,21302.492,254.277,Donald Trump,Republican
1710,April,2019,3.7,21397.938,255.233,Donald Trump,Republican
1711,May,2019,3.6,21504.349,255.296,Donald Trump,Republican
1712,June,2019,3.6,21610.76,255.213,Donald Trump,Republican
1713,July,2019,3.7,21717.171,255.802,Donald Trump,Republican
1714,August,2019,3.6,21789.18633333333,256.036,Donald Trump,Republican
1715,September,2019,3.5,21861.201666666668,256.43,Donald Trump,Republican
1716,October,2019,3.6,21933.217,257.155,Donald Trump,Republican
1717,November,2019,3.6,21872.557333333334,257.879,Donald Trump,Republican
1718,December,2019,3.6,21811.897666666668,258.63,Donald Trump,Republican
1719,January,2020,3.6,21751.238,259.127,Donald Trump,Republican
1720,February,2020,3.5,21153.589,259.25,Donald Trump,Republican
1721,March,2020,4.4,20555.940000000002,258.076,Donald Trump,Republican
1722,April,2020,14.8,19958.291,256.032,Donald Trump,Republican
1723,May,2020,13.2,20540.339666666667,255.802,Donald Trump,Republican
1724,June,2020,11.0,21122.388333333336,257.042,Donald Trump,Republican
1725,July,2020,10.2,21704.437,258.352,Donald Trump,Republican
1726,August,2020,8.4,21832.011333333336,259.316,Donald Trump,Republican
1727,September,2020,7.8,21959.585666666666,259.997,Donald Trump,Republican
1728,October,2020,6.9,22087.16,260.319,Donald Trump,Republican
1729,November,2020,6.7,22285.004333333334,260.911,Donald Trump,Republican
1730,December,2020,6.7,22482.848666666665,262.045,Donald Trump,Republican
1731,January,2021,6.4,22680.693,262.639,Donald Trump,Republican
1732,January,2021,6.4,22680.693,262.639,Joe Biden,Democratic
1733,February,2021,6.2,22929.098666666665,263.573,Joe Biden,Democratic
1734,March,2021,6.1,23177.504333333334,264.847,Joe Biden,Democratic
1735,April,2021,6.1,23425.91,266.625,Joe Biden,Democratic
1736,May,2021,5.8,23611.399666666668,268.404,Joe Biden,Democratic
1737,June,2021,5.9,23796.889333333333,270.71,Joe Biden,Democratic
1738,July,2021,5.4,23982.379,271.965,Joe Biden,Democratic
1739,August,2021,5.1,24259.452666666668,272.752,Joe Biden,Democratic
1740,September,2021,4.7,24536.52633333333,273.942,Joe Biden,Democratic
1741,October,2021,4.5,24813.6,276.528,Joe Biden,Democratic
1742,November,2021,4.2,24959.182333333334,278.824,Joe Biden,Democratic
1743,December,2021,3.9,25104.764666666666,280.806,Joe Biden,Democratic
1744,January,2022,4.0,25250.347,282.542,Joe Biden,Democratic
1745,February,2022,3.8,25453.995333333336,284.525,Joe Biden,Democratic
1746,March,2022,3.7,25657.643666666667,287.467,Joe Biden,Democratic
1747,April,2022,3.7,25861.292,288.582,Joe Biden,Democratic
1748,May,2022,3.6,26019.629333333334,291.299,Joe Biden,Democratic
1749,June,2022,3.6,26177.966666666667,295.072,Joe Biden,Democratic
1750,July,2022,3.5,26336.304,294.94,Joe Biden,Democratic
1751,August,2022,3.6,26481.040666666668,295.162,Joe Biden,Democratic
1752,September,2022,3.5,26625.77733333333,296.421,Joe Biden,Democratic
1753,October,2022,3.6,26770.514,297.979,Joe Biden,Democratic
1754,November,2022,3.6,26919.157666666666,298.708,Joe Biden,Democratic
1755,December,2022,3.5,27067.801333333333,298.808,Joe Biden,Democratic
1756,January,2023,3.5,27216.445,300.456,Joe Biden,Democratic
1757,February,2023,3.6,27320.981666666667,301.476,Joe Biden,Democratic
1758,March,2023,3.5,27425.518333333333,301.643,Joe Biden,Democratic
1759,April,2023,3.4,27530.055,302.858,Joe Biden,Democratic
1760,May,2023,3.6,27711.652000000002,303.316,Joe Biden,Democratic
1761,June,2023,3.6,27893.249,304.099,Joe Biden,Democratic
1762,July,2023,3.5,28074.846,304.615,Joe Biden,Democratic
1763,August,2023,3.7,28191.471333333335,306.138,Joe Biden,Democratic
1764,September,2023,3.8,28308.096666666668,307.374,Joe Biden,Democratic
1765,October,2023,3.9,28424.722,307.653,Joe Biden,Democratic
1766,November,2023,3.7,28519.201666666668,308.087,Joe Biden,Democratic
1767,December,2023,3.8,28613.681333333334,308.735,Joe Biden,Democratic
1768,January,2024,3.7,28708.161,309.794,Joe Biden,Democratic
1769,February,2024,3.9,28854.455333333335,311.022,Joe Biden,Democratic
1770,March,2024,3.9,29000.749666666667,312.107,Joe Biden,Democratic
1771,April,2024,3.9,29147.044,313.016,Joe Biden,Democratic
1772,May,2024,4.0,29268.584000000003,313.14,Joe Biden,Democratic
1773,June,2024,4.1,29390.124,313.131,Joe Biden,Democratic
1774,July,2024,4.2,29511.664,313.566,Joe Biden,Democratic
1775,August,2024,4.2,29616.170000000002,314.131,Joe Biden,Democratic
1776,September,2024,4.1,29720.676,314.851,Joe Biden,Democratic
1777,October,2024,4.1,29825.182,315.564,Joe Biden,Democratic
1778,November,2024,4.2,29897.492333333335,316.449,Joe Biden,Democratic
1779,December,2024,4.1,29969.802666666666,317.603,Joe Biden,Democratic
1780,January,2025,4.0,30042.113,319.086,Joe Biden,Democratic
1781,January,2025,4.0,30042.113,319.086,Donald Trump,Republican
1782,February,2025,4.1,30189.985,319.775,Donald Trump,Republican
1783,March,2025,4.2,30337.857,319.615,Donald Trump,Republican
1784,April,2025,4.2,30485.729,320.321,Donald Trump,Republican
1785,May,2025,4.2,30485.729,320.58,Donald Trump,Republican
1786,June,2025,4.1,30485.729,321.5,Donald Trump,Republican
1787,July,2025,4.2,30485.729,322.132,Donald Trump,Republican
1788,August,2025,4.3,30485.729,323.364,Donald Trump,Republican
1789,September,2025,4.4,30485.729,324.368,Donald Trump,Republican
